NETWERK 1
NODES 15668
1157 941 158
1158 1762 158
1159 1873 158
1160 2685 158
1161 2733 158
1162 2801 158
1163 169 159
1164 887 159
1165 2656 159
1166 2744 159
1167 2749 159
1168 2821 159
1169 319 160
1170 613 160
1171 851 160
1172 863 160
1173 342 161
1174 523 161
1175 812 161
1176 827 161
1177 838 161
1178 1564 161
1179 1852 161
1180 1872 161
1181 2714 161
1182 2752 161
1183 750 162
1184 762 162
1185 773 162
1186 783 162
1187 1100 162
1188 1517 162
1189 1531 162
1190 2308 162
1191 524 163
1192 533 163
1193 701 163
1194 713 163
1195 738 163
1196 1484 163
1197 2148 163
1198 2176 163
1199 2234 163
1200 2250 163
1201 2754 163
1202 195 164
1203 690 164
1204 977 164
1205 2176 164
1206 2205 164
1207 640 165
1208 661 165
1209 675 165
1210 68 166
1211 240 166
1212 1795 166
1213 1862 166
1214 2709 166
1215 -6 167
1216 113 167
1217 1793 167
1218 2077 167
1219 2110 167
1220 2801 167
1221 2821 167
1222 2822 167
1223 2893 167
1224 -43 168
1225 285 168
1226 2010 168
1227 2043 168
1228 2821 168
1229 2839 168
1230 40 169
1231 1804 169
1232 1977 169
1233 2825 169
1234 158 170
1235 2136 170
1236 2785 170
1237 2803 170
1238 309 171
1239 1805 171
1240 1862 171
1241 2110 171
1242 2757 171
1243 2819 171
1244 -11 172
1245 946 172
1246 1829 172
1247 923 173
1248 1785 173
1249 2806 173
1250 2817 173
1251 184 174
1252 887 174
1253 905 174
1254 2708 174
1255 2797 174
1256 2809 174
1257 2812 174
1258 850 175
1259 869 175
1260 1784 175
1261 2702 175
1262 2709 175
1263 57 176
1264 581 176
1265 603 176
1266 811 176
1267 826 176
1268 838 176
1269 1284 176
1270 1630 176
1271 229 177
1272 337 177
1273 568 177
1274 772 177
1275 796 177
1276 1580 177
1277 1596 177
1278 1612 177
1279 2309 177
1280 2555 177
1281 2564 177
1282 2686 177
1283 2756 177
1284 102 178
1285 533 178
1286 541 178
1287 690 178
1288 702 178
1289 726 178
1290 738 178
1291 1166 178
1292 1564 178
1293 2250 178
1294 2657 178
1295 274 179
1296 661 179
1297 674 179
1298 1532 179
1299 1564 179
1300 28 180
1301 147 180
1302 629 180
1303 649 180
1304 1485 180
1305 1517 180
1306 1733 180
1307 1763 180
1308 2753 180
1309 298 181
1310 1696 181
1311 2552 181
1312 -58 182
1313 349 182
1314 1442 182
